Standard,Division,CommonSubjects,,,,
11,a,"english,math,physics,chemistry,biology",,,,
,,,,,,
Name,ID,Sex,Address,Parent,ParentPhone,SecondLanguage
A.Adithya,110001,Male,"Adithya Bhavan, Kanjampuram",S.Ashokan,9922711000,malayalam
S.Anil,110002,Male,"Anil Bhavan, Kuzhithurai",S.Santhosh,9922711001,tamil
A.Anjali,110003,Female,"Anjali Bhavan, Kollemcode",R.Adarsh,9922711002,malayalam
B.Ajay,110004,Male,"Ajay Villa, Puthukadai",A.Binu Raj,9922711003,tamil
S.Anusree,110005,Female,"Anu Bhavan, Choozhal",A.Sangeeth,9922711004,tamil
J.Babu,110006,Male,"Babu Bhavan, Marthandam",A.Jeevaraj,9922711005,tamil
R.Bindhu,110007,Female,"Bindhu Bhavan, Kollemcode",A.Raghavan nair,9922711006,malayalam
R.Binu,110008,Male,"Binu Bhavan, Puthukadai",S.Rajan,9922711007,malayalam
A.Baiju,110009,Male,"Baiju Villa, Kaliyikavilai",M.Antony,9922711008,tamil
R.Bavithra,110010,Female,"Bavithra Bhavan, Kollemcode",R.Rajaraman,9922711009,tamil
S.Chinmayi,110011,Female,"Sindhu Bhavan, Parashala",A.Subash,9922711010,tamil
A.Cleetus,110012,Male,"Cibi Bhavan, Thoothoor",S.Anto Das,9922711011,malayalam
A.Deepak,110013,Male,"Arjun Bhavan, Kollemcode",S.Arjunan,9922711012,malayalam
R.Deepika,110014,Female,"Dhanya Bhavan, Marthandam",S.Rahul Raj,9922711013,tamil
S.Dhanya,110015,Female,"Devi Bhavan, Kollemcode",A.R.Sudheer,9922711014,tamil
S.Elango,110016,Male,"Elango Villa, Nagercoil",A.Sampath,9922711015,tamil
S.Eesha,110017,Female,"Eesha Bhavan, Marthandam",A.Sathya,9922711016,malayalam
S.Fatha Shajan,110018,Male,"Shajan Manzil, Nambali",A.Sameer,9922711017,tamil
S.Feroz Shah,110019,Male,"Feroz Manzil, Nambali",S.Shafath,9922711018,tamil
A.Febina,110020,Female,"Febi Villa, Thoothoor",S.Arul Das,9922711019,malayalam
S.Gauri,110021,Female,"Girija Bhavan, Puthukadai",S.Sumesh,9922711020,tamil
R.Gopi Krishnan,110022,Male,"Arun Bhavan, Kollemcode",A.Rameshan,9922711021,tamil
A.Hemanika,110023,Female,"Hema Bhavan, Karungal",A.Aravindhan,9922711022,tamil
S.Ishran,110024,Male,"Isha Manzil, Puthukadai",S.Shah,9922711023,tamil
A.Imran,110025,Male,"Imran Manzil, Nambali",M.Abdul Waheed,9922711024,tamil
S.Jebin,110026,Female,"Jebin Villa, Puthukadai",S.A.Samuel,9922711025,malayalam
A.Kanika,110027,Female,"Kani Nivas, Kollemcode",S.Aadhi,9922711026,tamil
R.Karthik,110028,Male,"Karthik Bhavan, Puthukadai",A.Rakesh,9922711027,malayalam
K.Libin,110029,Male,"Libin Villa, Nithravilai",T.Kumar,9922711028,malayalam
A.M.Murali,110030,Male,"Murali Bhavan, Kollemcode",S.Anurenjith,9922711029,tamil
S.Madhu,110031,Female,"Madhu Bhavan, Marthandam",S.Sumith,9922711030,tamil
R.Praveena,110032,Female,"Praveena Bhavan, Nithravilai",A.Raveendran,9922711031,tamil
P.Pranaya,110033,Female,"Pranaya Bhavan, Kollemcode",B.Pranesh Kumar,9922711032,malayalam
M.Preethi,110034,Female,"Preetha Bhavan, Kollemcode",N.Mani,9922711033,malayalam
V.Retheesh,110035,Male,"Ramesh Bhavan, Nithravilai",A.Viswambaran,9922711034,tamil
S.Ramesh,110036,Male,"Rakesh Bhavan, Kirathoor",A.Sunil lal,9922711035,tamil
A.Shijin,110037,Male,"Shijin Villa, Nithravilai",S.Abraham,9922711036,malayalam
S.Sujith,110038,Male,"Sujith Bhavan, Puthukadai",S.Sivan,9922711037,tamil
A.Tinu,110039,Female,"Tinu Villa, Nithravilai",A.Austin,9922711038,malayalam
N.Umesh,110040,Male,"Umesh Bhavan, Marthandam",M.Navaneeth,9922711039,tamil
M.Vikram,110041,Male,"Vikram Bhavan, Kaliyikavilai",A.Muneesh,9922711040,tamil
