"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science1";"Science2";"Social";"Attendance";"Remarks"
"R.S.Arun";100001;89;;87;94;96;96;95;97;"29/30";"Very Good"
"S.Arshad";100002;;45;44;46;31;45;49;51;"30/30";"Poor"
"R.Ambili";100003;;89;86;92;92;88;90;94;"30/30";"Very Good"
"B.Anto";100004;;70;56;61;63;66;71;59;"28/30";"Need Improvement"
"H.Athira";100005;;88;87;85;90;91;87;89;"29/30";"Very Good"
"S.Binil";100006;41;;44;32;47;51;55;51;"28/30";"Poor"
"D.Babitha";100007;;77;81;72;79;75;72;78;"30/30";"Good"
"D.Brijesh";100008;;44;45;46;33;30;47;55;"28/30";"Poor"
"A.Britto";100009;61;;66;58;67;63;71;60;"30/30";"Need Improvement"
"A.N.Bhavani";100010;;88;89;80;82;89;90;91;"29/30";"Very Good"
"A.Chandra Lekha";100011;90;;92;94;90;88;89;92;"30/30";"Very Good"
"S.Cibiraj";100012;;66;59;63;62;34;51;45;"26/30";"Poor"
"S.Daniston";100013;;55;61;47;46;54;34;38;"28/30";"Poor"
"S.S.Deepa";100014;;88;81;89;90;94;92;89;"30/30";"Very Good"
"S.Devi";100015;92;;90;94;92;89;94;90;"30/30";"Very Good"
"R.Ervine";100016;;55;50;51;47;33;39;45;"27/30";"Poor"
"J.Elena";100017;;40;46;56;47;54;59;51;"30/30";"Need Improvement"
"A.Fawad";100018;51;;55;34;44;56;41;48;"28/30";"Poor"
"J.Finil";100019;;72;77;59;66;67;72;77;"28/30";"Need Improvement"
"S.Febi";100020;;55;59;43;44;33;56;37;"30/30";"Poor"
"R.Girija";100021;88;;89;93;92;86;88;89;"30/30";"Very Good"
"A.Gokul";100022;;51;55;56;61;66;58;61;"28/30";"Need Improvement"
"A.Haritha";100023;80;;82;77;78;79;74;78;"30/30";"Good"
"A.Ivan";100024;;34;30;45;48;46;51;55;"26/30";"Poor"
"S.Ishan";100025;;77;78;79;81;77;79;81;"30/30";"Good"
"J.Jerry";100026;;72;75;76;78;81;77;79;"29/30";"Good"
"K.Kanimozhi";100027;;87;88;85;89;92;85;86;"30/30";"Very Good"
"S.Kumar";100028;51;;55;46;27;65;56;61;"28/30";"Poor"
"K.Lal";100029;;45;47;44;56;45;51;47;"30/30";"Need Improvement"
"S.Mohan";100030;;72;77;79;81;88;79;77;"30/30";"Good"
"S.Malar";100031;88;;91;90;85;91;93;87;"30/30";"Very Good"
"R.Priya";100032;;47;51;30;44;37;44;51;"28/30";"Poor"
"P.Pooja";100033;;90;91;88;89;91;88;90;"30/30";"Very Good"
"V.Preetha";100034;;78;80;81;77;76;76;80;"29/30";"Good"
"S.Rahul";100035;;78;79;82;81;72;71;77;"29/30";"Good"
"V.Riju";100036;80;;81;77;73;77;71;78;"30/30";"Good"
"A.Sunil";100037;;50;54;57;23;44;51;55;"28/30";"Poor"
"S.Subash";100038;55;;50;66;67;71;66;62;"29/30";"Need Improvement"
"A.Tittu";100039;;61;67;61;63;56;59;60;"30/30";"Need Improvement"
"N.Udit";100040;;80;73;77;76;79;83;84;"28/30";"Good"
"M.Vikash";100041;46;;44;45;47;46;51;55;"30/30";"Need Improvement"
