"Student","StudentID","Malayalam","Tamil","English","Math","Physics","Chemistry","Biology","Attendance","Remarks"
"A.Adithya",110001,175,,166,180,171,170,163,"28/30","Good"
"S.Anil",110002,,95,96,56,121,100,77,"30/30","Poor"
"A.Anjali",110003,185,,171,195,194,188,180,"29/30","Very Good"
"B.Ajay",110004,,151,149,171,170,168,159,"30/30","Good"
"S.Anusree",110005,,177,172,190,192,194,188,"29/30","Very Good"
"J.Babu",110006,,77,65,111,67,88,94,"27/30","Poor"
"R.Bindhu",110007,166,,167,177,180,169,164,"29/30","Good"
"R.Binu",110008,98,,78,56,90,65,78,"30/30","Poor"
"A.Baiju",110009,,121,124,111,131,90,61,"26/30","Poor"
"R.Bavithra",110010,,125,131,156,144,149,151,"27/30","Need Improvement"
"S.Chinmayi",110011,,188,180,194,189,194,195,"30/30","Very Good"
"A.Cleetus",110012,107,,112,143,145,151,127,"30/30","Need Improvement"
"A.Deepak",110013,151,,155,167,171,150,165,"29/30","Good"
"R.Deepika",110014,,180,156,178,182,177,173,"30/30","Good"
"S.Dhanya",110015,,188,182,200,190,194,193,"30/30","Very Good"
"S.Elango",110016,,144,151,165,145,133,145,"30/30","Need Improvement"
"S.Eesha",110017,177,,174,180,178,177,165,"28/30","Good"
"S.Fatha Shajan",110018,,90,75,80,77,56,67,"26/30","Poor"
"S.Feroz Shah",110019,,78,56,64,54,78,80,"27/30","Poor"
"A.Febina",110020,133,,129,144,135,156,157,"28/30","Need Improvement"
"S.Gauri",110021,,161,166,167,151,166,177,"29/30","Good"
"R.Gopi Krishnan",110022,,121,137,151,144,120,127,"30/30","Need Improvement"
"A.Hemanika",110023,,155,161,167,171,177,169,"29/30","Good"
"S.Ishran",110024,,120,122,134,144,145,151,"29/30","Need Improvement"
"A.Imran",110025,,77,101,56,78,121,100,"30/30","Poor"
"S.Jebin",110026,166,,165,166,171,165,159,"30/30","Good"
"A.Kanika",110027,,177,180,192,181,187,177,"30/30","Very Good"
"R.Karthik",110028,156,,159,167,162,158,171,"30/30","Good"
"K.Libin",110029,127,,131,137,144,146,127,"30/30","Need Improvement"
"A.M.Murali",110030,,141,137,145,156,151,129,"28/30","Need Improvement"
"S.Madhu",110031,,160,166,171,172,156,177,"30/30","Good"
"R.Praveena",110032,,127,133,141,127,139,146,"29/30","Need Improvement"
"P.Pranaya",110033,188,,181,187,192,190,181,"29/30","Very Good"
"M.Preethi",110034,131,,137,129,134,147,143,"30/30","Need Improvement"
"V.Retheesh",110035,,134,141,147,159,135,121,"30/30","Need Improvement"
"S.Ramesh",110036,,127,126,131,129,141,133,"29/30","Need Improvement"
"A.Shijin",110037,77,,101,47,51,66,87,"30/30","Poor"
"S.Sujith",110038,,89,56,78,65,56,77,"26/30","Poor"
"A.Tinu",110039,144,,151,177,167,171,172,"30/30","Good"
"N.Umesh",110040,,156,166,171,177,165,180,"30/30","Good"
"M.Vikram",110041,,151,157,165,171,177,165,"29/30","Good"
