"EducationYear","TypeOfExam","Division","Standard",,,,,,,
"2015-2016","Periodical1","All",7,,,,,,,
,,,,,,,,,,
"Student","StudentID","Malayalam","Tamil","English","Hindi","Math","Science","Social","Attendence","Remarks"
"A.Athira",700001,81,,88,77,91,86,90,"30/30","Very Good"
"S.N.Adarsh",700002,,62,60,59,61,56,57,"30/30","Need Improvement"
"B.Anitha",700003,,89,88,90,94,95,96,"30/30","Very Good"
"S.Arjun",700004,,56,54,57,62,67,58,"29/30","Need Improvement"
"S.S.Apoorva",700005,78,,76,90,92,77,78,"29/30","Good"
"R.S.Baiju",700006,,45,60,30,70,96,67,"26/30","Poor"
"S.Bagyaraj",700007,,90,67,59,70,97,70,"29/30","Good"
"D.Balaji",700008,,45,44,29,19,98,55,"22/30","Poor"
"M.S.Bhavani",700009,,80,60,"ab",60,99,80,"27/30","Dont take more leaves"
"A.Bhuvaneshwari",700010,57,,41,37,44,66,51,"25/30","Poor"
"S.Chinmayi",700011,94,,90,92,96,97,98,"30/30","Very Good"
"D.Divya",700012,,70,66,59,71,81,63,"29/30","Good"
"M.D.Dharshan",700013,,45,67,71,44,51,61,"27/30","Need Improvement"
"S.Deepa",700014,,72,39,27,19,33,44,"26/30","Poor"
"V.S.Dhanu",700015,,90,88,80,91,94,99,"30/30","Very Good"
"S.Elangovan",700016,70,,44,51,22,71,33,"26/30","Poor"
"D.Elizabeth",700017,,34,30,66,22,33,64,"30/30","Poor"
"G.Fathima",700018,31,,56,41,24,51,47,"23/30","Poor"
"A.Fazil",700019,,72,80,72,78,71,73,"30/30","Need Improvement"
"R.Freeda",700020,,65,32,41,36,44,32,"27/30","Poor"
"J.Ganga",700021,,82,81,89,84,90,89,"30/30","Very Good"
"A.GiriKumar",700022,31,,45,56,62,44,34,"19/30","Poor"
"N.Hima",700023,"ab",,74,71,90,86,87,"23/30","Dont take more leaves"
"D.Irvine",700024,,72,61,64,65,54,69,"30/30","Need Improvement"
"S.S.Indulekha",700025,,78,84,78,81,90,90,"29/30","Good"
"A.Jalaja",700026,,67,63,74,81,76,77,"30/30","Good"
"K.Kanimozhi",700027,90,,90,93,98,96,89,"30/30","Very Good"
"K.Kumar",700028,30,,"ab",67,73,56,77,"23/30","Poor"
"S.Livingston",700029,,54,32,53,37,45,56,"28/30","Poor"
"A.Mohan",700030,,76,78,75,65,77,81,"30/30","Good"
"S.Madhavi",700031,,88,87,89,90,100,98,"29/30","Very Good"
"B.Michael",700032,67,,56,61,36,56,37,"28/30","Poor"
"G.Pradeep",700033,70,,67,81,72,89,78,"30/30","Good"
"H.Rajan",700034,60,,64,61,59,56,63,"28/30","Need Improvement"
"V.Retheesh",700035,,77,81,79,91,90,97,"30/30","Good"
"H.Renuga",700036,,98,96,100,100,95,94,"29/30","Very Good"
"J.Sudheer",700037,62,,72,65,67,56,59,"30/30","Need Improvement"
"P.Subash",700038,,66,54,"ab",50,45,54,"27/30","Poor"
"P.Tushar",700039,,71,80,65,71,69,66,"30/30","Need Improvement"
"H.Unnimaya",700040,81,,78,84,85,90,81,"29/30","Good"
"K.Vinay",700041,56,,62,67,73,59,55,"30/30","Need Improvement"
"S.Vijil",700042,,45,31,37,41,35,56,"30/30","Poor"
