"EducationYear","TypeOfExam","Division",,,,,,,,,
"2015-2016","Periodical2","all",,,,,,,,,
,,,,,,,,,,,
"Student","StudentID","Standard","Malayalam","Tamil","English","Math","Physics","Chemistry","Biology","Attendance","Remarks"
"A.Adithya",110001,11,165,,150,178,170,167,180,"29/30","Good"
"S.Anil",110002,11,,97,100,98,67,81,90,"29/30","Poor"
"A.Anjali",110003,11,178,,161,200,180,184,179,"29/30","Very Good"
"B.Ajay",110004,11,,111,121,134,145,151,121,"30/30","Need Improvement"
"S.Anusree",110005,11,,180,175,198,190,198,189,"30/30","Very Good"
"J.Babu",110006,11,,90,93,56,71,63,67,"30/30","Poor"
"R.Bindhu",110007,11,165,,166,190,167,163,177,"29/30","Good"
"R.Binu",110008,11,111,,84,71,63,89,67,"26/30","Poor"
"A.Baiju",110009,11,,111,101,145,65,111,91,"29/30","Poor"
"R.Bavithra",110010,11,,151,155,181,167,157,171,"30/30","Good"
"S.Chinmayi",110011,11,,177,167,190,196,185,194,"29/30","Very Good"
"A.Cleetus",110012,11,121,,131,178,156,159,160,"30/30","Good"
"A.Deepak",110013,11,131,,121,117,141,135,112,"29/30","Need Improvement"
"R.Deepika",110014,11,,171,165,190,181,172,166,"30/30","Good"
"S.Dhanya",110015,11,,181,170,198,200,194,193,"30/30","Very Good"
"S.Elango",110016,11,,145,156,178,156,171,156,"30/30","Good"
"S.Eesha",110017,11,178,,165,190,170,168,171,"28/30","Good"
"S.Fatha Shajan",110018,11,,111,90,71,56,43,71,"26/30","Poor"
"S.Feroz Shah",110019,11,,56,44,34,71,61,33,"27/30","Poor"
"A.Febina",110020,11,131,,121,144,109,111,134,"29/30","Need Improvement"
"S.Gauri",110021,11,,151,145,189,171,165,170,"29/30","Good"
"R.Gopi Krishnan",110022,11,,160,156,186,171,167,164,"30/30","Good"
"A.Hemanika",110023,11,,150,151,180,167,159,156,"29/30","Good"
"S.Ishran",110024,11,,111,109,144,71,59,121,"27/30","Poor"
"A.Imran",110025,11,,100,90,57,71,77,65,"28/30","Poor"
"S.Jebin",110026,11,144,,101,131,123,111,100,"30/30","Need Improvement"
"A.Kanika",110027,11,,161,166,200,180,190,188,"30/30","Very Good"
"R.Karthik",110028,11,141,,145,176,156,168,165,"30/30","Good"
"K.Libin",110029,11,100,,78,100,77,65,45,"26/30","Poor"
"A.M.Murali",110030,11,,156,140,177,162,166,170,"29/30","Good"
"S.Madhu",110031,11,,171,172,198,190,180,172,"30/30","Very Good"
"R.Praveena",110032,11,,151,144,180,172,167,166,"30/30","Good"
"P.Pranaya",110033,11,177,,180,194,182,181,177,"28/30","Very Good"
"M.Preethi",110034,11,133,,127,156,167,171,145,"30/30","Good"
"V.Retheesh",110035,11,,122,127,111,132,100,109,"30/30","Need Improvement"
"S.Ramesh",110036,11,,125,127,131,111,125,137,"29/30","Need Improvement"
"A.Shijin",110037,11,77,,56,61,90,111,56,"27/30","Poor"
"S.Sujith",110038,11,,111,90,77,45,78,66,"28/30","Poor"
"A.Tinu",110039,11,125,,151,189,177,167,171,"29/30","Good"
"N.Umesh",110040,11,,134,130,178,162,181,166,"30/30","Good"
"M.Vikram",110041,11,,111,121,134,124,102,112,"30/30","Need Improvement"
