EducationYear,TypeOfExam,Division,,,,,,,,,
2015-2016,periodical2,all,,,,,,,,,
Student,StudentID,Standard,Malayalam,Tamil,English,Hindi,Math,Science,Social,Attendence,Remarks
A.Athira,700001,7,70,,65,70,65,75,80,28/30,Good
S.N.Adarsh,700002,7,,58,67,40,48,60,52,30/30,Poor
B.Anitha,700003,7,,90,92,93,96,92,97,30/30,Very Good
S.Arjun,700004,7,,70,69,60,70,69,50,29/30,Need Improvement
S.S.Apoorva,700005,7,77,,ab,89,90,95,66,29/30,Good
R.S.Baiju,700006,7,,60,55,30,55,88,67,26/30,Poor
S.Bagyaraj,700007,7,,92,69,69,70,87,70,29/30,Good
D.Balaji,700008,7,,55,44,ab,35,90,55,22/30,Poor
M.S.Bhavani,700009,7,,80,60,45,60,95,77,27/30,Need Improvement
A.Bhuvaneshwari,700010,7,65,,45,39,46,66,45,25/30,Poor
S.Chinmayi,700011,7,93,,88,90,97,90,95,29/30,Very Good
D.Divya,700012,7,,72,67,60,70,85,66,29/30,Good
M.D.Dharshan,700013,7,,47,67,70,47,50,62,29/30,Need Improvement
S.Deepa,700014,7,,75,40,30,25,34,44,20/30,Poor
V.S.Dhanu,700015,7,,90,89,86,90,97,97,30/30,Very Good
S.Elangovan,700016,7,78,,40,56,23,70,35,27/30,Poor
D.Elizabeth,700017,7,,35,33,60,25,35,60,30/30,Poor
G.Fathima,700018,7,34,,50,40,25,50,49,28/30,Poor
A.Fazil,700019,7,,70,78,80,80,75,75,30/30,Need Improvement
R.Freeda,700020,7,,64,34,44,38,45,34,27/30,Poor
J.Ganga,700021,7,,80,85,90,87,90,90,30/30,Very Good
A.GiriKumar,700022,7,34,,47,57,66,45,32,29/30,Poor
N.Hima,700023,7,67,,75,72,91,87,88,28/30,Good
D.Irvine,700024,7,,78,60,65,66,57,70,30/30,Need Improvement
S.S.Indulekha,700025,7,,80,84,70,87,92,91,30/30,Good
A.Jalaja,700026,7,,65,66,75,82,77,78,30/30,Good
K.Kanimozhi,700027,7,91,,93,93,99,97,90,30/30,Very Good
K.Kumar,700028,7,33,,55,68,75,55,60,23/30,Poor
S.Livingston,700029,7,,55,34,55,37,45,56,28/30,Poor
A.Mohan,700030,7,,78,70,77,68,80,86,30/30,Good
S.Madhavi,700031,7,,90,88,90,93,98,99,29/30,Very Good
B.Michael,700032,7,68,,57,63,38,58,39,28/30,Poor
G.Pradeep,700033,7,75,,68,82,75,90,79,30/30,Good
H.Rajan,700034,7,66,,65,63,60,58,67,28/30,Need Improvement
V.Retheesh,700035,7,,78,87,80,95,93,98,30/30,Good
H.Renuga,700036,7,,97,97,98,99,98,97,30/30,Very Good
J.Sudheer,700037,7,65,,75,66,68,58,60,30/30,Need Improvement
P.Subash,700038,7,,68,55,70,48,40,39,24/30,Poor
P.Tushar,700039,7,,65,67,60,46,58,43,30/30,Need Improvement
H.Unnimaya,700040,7,78,,65,90,80,78,90,30/30,Good
K.Vinay,700041,7,69,,80,35,40,38,35,22/30,Poor
S.Vijil,700043,7,,78,79,77,66,78,83,30/30,Good
