Student,StudentID,Malayalam,Tamil,English,Hindi,Math,Science,Social,Attendance,Remarks
S.Anish,800001,,71,72,78,81,79,80,29/30,Good
A.Ashwin,800002,72,,71,72,88,79,76,30/30,Good
M.Anjali,800003,84,,81,90,98,96,93,30/30,Very Good
S.Athulya,800004,,56,61,56,67,59,58,29/30,Need Improvement
M.Anandhi,800005,,72,67,71,69,72,71,28/30,Need Improvement
A.Aarthi,800006,,75,77,72,81,72,78,30/30,Good
N.Baskar,800007,56,,51,45,23,36,57,28/30,Poor
D.Benny,800008,,31,44,27,51,47,56,26/30,Poor
S.Bharathi,800009,78,,84,86,91,93,90,30/30,Very Good
S.Benson,800010,,45,51,34,37,44,56,27/30,Poor
C.Charmi,800011,,88,89,95,90,89,98,29/30,Very Good
S.Dhanya,800012,,90,77,84,79,77,81,29/30,Good
M.Dhanesh,800013,,87,88,92,96,91,87,30/30,Very Good
N.Dhanush,800014,,51,34,21,44,46,32,28/30,Poor
V.Deepthi,800015,,72,77,81,83,79,83,30/30,Good
A.Elan,800016,,44,46,30,23,44,51,28/30,Poor
D.Elena,800017,65,,51,32,44,35,45,28/30,Poor
A.Feroz,800018,45,,47,45,34,56,51,27/30,Poor
S.Finil,800019,62,,64,59,63,62,71,30/30,Need Improvement
R.Fiaz,800020,,56,45,57,51,44,40,29/30,Need Improvement
R.Girija,800021,,82,81,90,98,89,94,30/30,Very Good
S.Gaurav,800022,,51,50,44,37,45,56,27/30,Poor
N.Harshid,800023,,71,75,73,69,78,81,29/30,Good
S.Indhu,800024,,78,79,81,79,80,81,28/30,Good
A.Inba Shalini,800025,56,,45,56,34,56,51,29/30,Poor
G.Jayanth,800026,77,,72,69,59,61,66,28/30,Need Improvement
S.Kathir,800027,,90,87,81,90,89,92,30/30,Very Good
V.Kani,800028,,74,71,72,80,82,79,30/30,Good
A.Lijin,800029,,41,44,51,37,51,58,27/30,Poor
S.Manohar,800030,72,,78,81,84,82,79,30/30,Good
A.Martha,800031,,51,34,44,51,37,56,28/30,Poor
S.Munish Kumar,800032,,88,78,80,82,79,84,29/30,Good
V.Murali,800033,,56,55,61,57,44,31,26/30,Poor
S.Ramesh,800034,,51,56,61,64,57,67,30/30,Need Improvement
R.Raghavan,800035,,89,92,94,96,89,96,30/30,Very Good
S.Renuga Devi,800036,90,,92,93,96,98,90,29/30,Very Good
S.Sindhu,800037,71,,77,78,89,76,81,29/30,Good
S.Santosh,800038,,61,44,37,45,56,54,28/30,Poor
M.Teena,800039,,61,66,56,ab,78,71,26/30,Dont take leave
M.Umesh,800040,,78,80,78,77,81,84,29/30,Good
A.Vijay Kumar,800041,66,,56,67,54,51,57,30/30,Need Improvement
M.Viji,800042,77,,72,76,69,78,81,29/30,Good
