"EducationYear";"TypeOfExam";"Division";"Standard";;;;;;;;
"2015-2016";"Periodical2";"All";9;;;;;;;;
;;;;;;;;;;;
"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science1";"Science2";"Social";"Attendance";"Remarks"
"S.Anu Priya";900001;77;;82;78;81;79;78;81;"30/30";"Good"
"B.Anugraha";900002;;66;51;45;37;51;44;59;"28/30";"Poor"
"A.Albert Raj";900003;;88;79;90;96;90;89;94;"29/30";"Very Good"
"N.Akshay";900004;;77;67;78;79;81;72;78;"29/30";"Good"
"H.Athul Krishnan";900005;;77;72;84;77;81;78;79;"28/30";"Good"
"L.Babu";900006;56;;34;45;57;66;34;61;"26/30";"Poor"
"M,Bhuvana";900007;;87;72;71;80;76;84;78;"29/30";"Good"
"D.Benito";900008;;45;34;44;34;51;65;57;"28/30";"Poor"
"A.Bharath";900009;90;;81;84;88;79;86;81;"30/30";"Good"
"S.Chinmayi";900010;;61;56;45;32;61;55;51;"28/30";"Poor"
"R.Chinnu";900011;95;;90;88;96;93;90;92;"30/30";"Very Good"
"M.Charu Latha";900012;;70;72;75;63;61;80;73;"28/30";"Good"
"S.Dileep";900013;;61;67;70;56;67;61;65;"30/30";"Need Improvement"
"V.Divya Sri";900014;;65;45;31;36;54;43;51;"28/30";"Poor"
"S.Dhana Lekshmi";900015;90;;89;93;96;93;88;91;"29/30";"Very Good"
"V.Ezhil";900016;56;;62;55;45;51;57;45;"30/30";"Need Improvement"
"L.Elizabeth";900017;;41;30;45;46;33;42;51;"28/30";"Poor"
"G.Felix";900018;44;;51;40;45;40;32;47;"28/30";"Poor"
"F.Febian";900019;;65;77;72;78;81;79;83;"30/30";"Good"
"S.Faizal";900020;;56;61;64;56;61;53;57;"30/30";"Need Improvement"
"A.Ganga";900021;90;;88;92;96;94;89;92;"30/30";"Very Good"
"D.Godwin";900022;;44;51;46;35;45;32;56;"27/30";"Poor"
"S.Hima";900023;78;;81;84;92;77;69;78;"30/30";"Good"
"V.Indran";900024;;67;60;56;67;72;77;69;"30/30";"Need Improvement"
"I.Imran";900025;80;;82;77;67;61;63;78;"29/30";"Need Improvement"
"M.Jessie";900026;;67;72;77;79;67;73;78;"28/30";"Need Improvement"
"A.Kingston";900027;;90;78;88;96;78;83;86;"30/30";"Good"
"S.Kumar";900028;45;;34;51;56;57;53;41;"28/30";"Poor"
"N.Livingston";900029;;45;30;41;33;23;43;51;"26/30";"Poor"
"R.Murali";900030;;77;76;75;81;89;78;79;"30/30";"Good"
"S.Manju";900031;92;;87;90;98;96;99;92;"30/30";"Very Good"
"S.Merlin";900032;;65;54;40;44;45;31;45;"28/30";"Poor"
"M.Pradeep";900033;;67;56;66;71;72;79;67;"30/30";"Need Improvement"
"R.Raju";900034;;56;61;65;59;65;53;57;"30/30";"Need Improvement"
"T.Retheesh";900035;;81;78;78;79;82;77;79;"29/30";"Good"
"A.Rinu";900036;94;;92;88;92;94;90;88;"30/30";"Very Good"
"D.Sindhu";900037;;56;67;57;60;71;72;66;"30/30";"Need Improvement"
"N.Smrithi";900038;56;;61;66;54;47;56;67;"30/30";"Need Improvement"
"A.Thamim";900039;;56;65;55;33;57;62;59;"27/30";"Poor"
"M.Ullas";900040;;56;71;77;63;79;58;65;"28/30";"Need Improvement"
"A.Unni";900041;55;;54;33;45;54;51;56;"27/30";"Poor"
"S.Usha";900042;;45;56;61;33;47;34;51;"30/30";"Poor"
"N.Vinil";900043;73;;77;82;76;71;75;79;"30/30";"Good"
"M.Vinay";900044;72;;77;78;81;84;77;83;"30/30";"Good"
"S.Vijay";900045;;61;56;66;67;69;71;55;"27/30";"Need Improvement"
