"Student";"StudentID";"Malayalam";"Tamil";"English";"Math";"Physics";"Chemistry";"Biology";"Attendance";"Remarks"
"A.Adithya";110001;160;;178;181;184;177;190;"30/30";"Very Good"
"S.Anil";110002;;90;111;78;60;78;93;"28/30";"Poor"
"A.Anjali";110003;180;;171;198;190;191;188;"30/30";"Very Good"
"B.Ajay";110004;;110;117;121;135;141;131;"28/30";"Need Improvement"
"S.Anusree";110005;;182;183;190;192;181;188;"29/30";"Very Good"
"J.Babu";110006;;78;79;65;90;73;71;"26/30";"Poor"
"R.Bindhu";110007;166;;169;171;177;172;165;"30/30";"Good"
"R.Binu";110008;100;;111;121;56;111;101;"25/30";"Poor"
"A.Baiju";110009;;100;90;121;113;77;98;"27/30";"Need Improvement"
"R.Bavithra";110010;;161;166;165;171;159;177;"30/30";"Good"
"S.Chinmayi";110011;;180;176;194;190;189;192;"30/30";"Very Good"
"A.Cleetus";110012;131;;134;145;137;155;163;"28/30";"Need Improvement"
"A.Deepak";110013;144;;154;156;171;178;169;"30/30";"Good"
"R.Deepika";110014;;177;172;184;191;184;190;"30/30";"Good"
"S.Dhanya";110015;;190;188;200;198;190;189;"30/30";"Very Good"
"S.Elango";110016;;147;156;163;167;161;157;"29/30";"Good"
"S.Eesha";110017;180;;161;175;188;164;175;"30/30";"Good"
"S.Fatha Shajan";110018;;100;88;67;78;56;89;"23/30";"Poor"
"S.Feroz Shah";110019;;65;71;45;48;56;77;"25/30";"Poor"
"A.Febina";110020;121;;124;131;137;132;109;"26/30";"Need Improvement"
"S.Gauri";110021;;161;166;190;178;181;190;"30/30";"Very Good"
"R.Gopi Krishnan";110022;;155;161;172;170;174;169;"28/30";"Good"
"A.Hemanika";110023;;166;171;188;190;177;187;"30/30";"Very Good"
"S.Ishran";110024;;100;90;121;56;67;48;"25/30";"Poor"
"A.Imran";110025;;89;93;54;78;90;61;"24/30";"Poor"
"S.Jebin";110026;121;;120;137;140;121;117;"29/30";"Need Improvement"
"A.Kanika";110027;;171;160;190;194;188;192;"29/30";"Very Good"
"R.Karthik";110028;144;;151;180;162;171;177;"30/30";"Good"
"K.Libin";110029;90;;92;56;89;77;89;"29/30";"Poor"
"A.M.Murali";110030;;145;147;156;131;121;156;"28/30";"Need Improvement"
"S.Madhu";110031;;170;166;189;192;188;177;"29/30";"Good"
"R.Praveena";110032;;160;166;190;189;178;191;"30/30";"Very Good"
"P.Pranaya";110033;180;;188;196;190;188;189;"30/30";"Very Good"
"M.Preethi";110034;141;;144;156;168;175;165;"29/30";"Good"
"V.Retheesh";110035;;121;117;132;145;131;154;"28/30";"Need Improvement"
"S.Ramesh";110036;;134;133;128;136;111;119;"30/30";"Need Improvement"
"A.Shijin";110037;56;;47;59;67;78;89;"25/30";"Poor"
"S.Sujith";110038;;121;67;78;81;49;54;"26/30";"Poor"
"A.Tinu";110039;125;;156;133;156;161;134;"30/30";"Need Improvement"
"N.Umesh";110040;;141;144;156;157;167;171;"29/30";"Good"
"M.Vikram";110041;;121;131;130;121;113;118;"28/30";"Need Improvement"
