"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science";"Social";"Attendance";"Remarks"
"R.S.Abhilash";600001;78;;78;77;76;80;78;"29/30";"Good"
"A.R.Anil";600002;;50;60;45;51;56;33;"29/30";"Poor"
"S.C.Anjali";600003;;90;88;90;90;89;96;"30/30";"Very Good"
"C.V.Athira";600004;;67;62;67;67;64;50;"29/30";"Need Improvement"
"S.S.Athulya";600005;;75;71;89;95;90;66;"30/30";"Good"
"B.N.Biju";600006;56;;56;38;70;67;67;"26/30";"Poor"
"N.A.Bindhu";600007;;90;71;76;70;90;70;"29/30";"Good"
"D.V.Binu";600008;;45;51;34;33;67;55;"22/30";"Poor"
"C.S.Bhavana";600009;81;;60;78;60;99;80;"27/30";"Good"
"A.N.Brindha";600010;;56;41;32;35;66;51;"26/30";"Poor"
"C.S.Chandhini";600011;90;;89;97;96;97;98;"30/30";"Very Good"
"A.L.Chandrika";600012;;70;66;66;77;81;63;"29/30";"Good"
"V.A.Daniel";600013;;45;67;71;56;57;61;"27/30";"Need Improvement"
"S.S.Dhanya";600014;;72;39;41;19;30;44;"26/30";"Poor"
"B.S.Deepthi";600015;96;;88;88;94;96;99;"30/30";"Very Good"
"A.Eugene";600016;;70;44;33;43;65;45;"26/30";"Poor"
"S.Esther";600017;;41;44;33;41;30;64;"30/30";"Poor"
"A.Ferdinand";600018;44;;49;51;37;51;47;"23/30";"Poor"
"S.Franklin";600019;;72;80;72;76;67;73;"30/30";"Need Improvement"
"N.Freddy";600020;;65;38;47;45;34;32;"27/30";"Poor"
"R.S.Gayathri";600021;82;;88;92;94;90;89;"30/30";"Very Good"
"S.S.Ganesh Kumar";600022;;30;51;65;62;35;34;"19/30";"Poor"
"A.Hema";600023;66;;77;71;90;86;87;"28/30";"Good"
"S.S.Indrajith";600024;;77;66;64;77;54;69;"30/30";"Need Improvement"
"R.Indira";600025;;78;84;78;88;89;90;"29/30";"Good"
"S.Jeni";600026;;67;63;88;81;79;77;"30/30";"Good"
"M.Kavitha";600027;;90;90;89;98;92;89;"30/30";"Very Good"
"K.Kiran";600028;38;;44;67;73;55;77;"23/30";"Poor"
"D.Lingston";600029;;67;44;34;45;40;56;"28/30";"Poor"
"S.Manoj";600030;;76;78;75;78;81;81;"30/30";"Good"
"A.Mridhula";600031;88;;87;89;92;90;98;"29/30";"Very Good"
"F.Mejo";600032;;67;56;33;31;50;37;"28/30";"Poor"
"S.Prakash";600033;;70;79;77;72;78;78;"30/30";"Good"
"A.Rahman";600034;;56;71;61;67;56;63;"28/30";"Need Improvement"
"V.A.Rajesh";600035;;77;81;76;89;90;97;"30/30";"Good"
"C.S.Reshmi";600036;96;;95;99;99;97;93;"30/30";"Very Good"
"A.Suresh";600037;;62;72;70;67;65;66;"30/30";"Need Improvement"
"S.N.Suresh";600038;66;;44;33;50;45;54;"27/30";"Poor"
"A.Tushara";600039;;62;71;59;56;57;41;"30/30";"Need Improvement"
"N.Ujin";600040;;70;77;87;81;76;84;"30/30";"Good"
"M.Vijay";600041;65;;72;44;31;47;51;"27/30";"Poor"
