"EducationYear";"TypeOfExam";"Division";;;;;;;;;
"2015-2016";"Quarterly";;;;;;;;;;
"Student";"StudentID";"Standard";"Malayalam";"Tamil";"English";"Math";"Physics";"Chemistry";"Biology";"Attendence";"Remarks"
"A.Adithya";110001;11;171;;160;190;167;172;166;"30/30";"Good"
"S.Anil";110002;11;;90;88;67;72;56;94;"28/30";"Poor"
"A.Anjali";110003;11;181;;166;198;200;181;177;"30/30";"Very Good"
"B.Ajay";110004;11;;144;135;166;151;162;145;"29/30";"Good"
"S.Anusree";110005;11;;182;171;200;198;190;184;"30/30";"Very Good"
"J.Babu";110006;11;;100;111;77;56;78;90;"26/30";"Poor"
"R.Bindhu";110007;11;160;;161;180;171;166;156;"30/30";"Good"
"R.Binu";110008;11;100;;56;43;77;71;56;"27/30";"Poor"
"A.Baiju";110009;11;;112;89;103;115;78;67;"27/30";"Poor"
"R.Bavithra";110010;11;;121;132;167;133;145;127;"28/30";"Need Improvement"
"S.Chinmayi";110011;11;;182;176;200;190;191;188;"30/30";"Very Good"
"A.Cleetus";110012;11;111;;107;136;151;123;117;"28/30";"Need Improvement"
"A.Deepak";110013;11;140;;144;178;156;167;144;"30/30";"Good"
"R.Deepika";110014;11;;177;160;200;180;178;156;"29/30";"Good"
"S.Dhanya";110015;11;;182;177;200;198;200;190;"30/30";"Very Good"
"S.Elango";110016;11;;134;147;170;150;161;177;"29/30";"Good"
"S.Eesha";110017;11;170;;160;189;172;167;156;"30/30";"Good"
"S.Fatha Shajan";110018;11;;101;67;77;67;73;56;"28/30";"Poor"
"S.Feroz Shah";110019;11;;50;34;43;11;56;61;"26/30";"Poor"
"A.Febina";110020;11;120;;126;150;111;127;131;"30/30";"Need Improvement"
"S.Gauri";110021;11;;155;156;162;145;157;174;"30/30";"Good"
"R.Gopi Krishnan";110022;11;;131;133;145;135;129;144;"28/30";"Need Improvement"
"A.Hemanika";110023;11;;144;154;162;177;167;180;"30/30";"Good"
"S.Ishran";110024;11;;121;127;156;123;130;117;"30/30";"Need Improvement"
"A.Imran";110025;11;;90;97;100;81;89;90;"29/30";"Poor"
"S.Jebin";110026;11;150;;127;156;161;137;145;"28/30";"Good"
"A.Kanika";110027;11;;170;172;190;178;181;171;"29/30";"Very Good"
"R.Karthik";110028;11;151;;150;162;167;171;156;"29/30";"Good"
"K.Libin";110029;11;121;;123;144;134;121;109;"29/30";"Need Improvement"
"A.M.Murali";110030;11;;132;134;151;117;136;121;"30/30";"Need Improvement"
"S.Madhu";110031;11;;156;162;179;167;177;181;"29/30";"Good"
"R.Praveena";110032;11;;145;121;145;156;134;145;"28/30";"Need Improvement"
"P.Pranaya";110033;11;180;;172;198;190;182;179;"30/30";"Very Good"
"M.Preethi";110034;11;121;;126;131;144;139;151;"29/30";"Need Improvement"
"V.Retheesh";110035;11;;131;134;151;156;162;159;"29/30";"Good"
"S.Ramesh";110036;11;;121;126;120;117;130;126;"30/30";"Need Improvement"
"A.Shijin";110037;11;89;;77;56;78;100;67;"29/30";"Poor"
"S.Sujith";110038;11;;121;98;65;78;90;56;"29/30";"Poor"
"A.Tinu";110039;11;132;;145;171;156;145;151;"29/30";"Good"
"N.Umesh";110040;11;;134;144;165;172;155;171;"29/30";"Good"
"M.Vikram";110041;11;;134;151;178;144;156;167;"30/30";"Good"
