Student,StudentID,Malayalam,Tamil,English,Hindi,Math,Science,Social,Attendance,Remarks
S.Anish,800001,,71,78,80,84,77,70,30/30,Good
A.Ashwin,800002,72,,65,59,62,77,78,28/30,Need Improvement
M.Anjali,800003,90,,92,94,96,98,94,30/30,Very Good
S.Athulya,800004,,70,72,78,81,79,78,30/30,Good
M.Anandhi,800005,,88,80,81,78,79,83,30/30,Good
A.Aarthi,800006,,90,92,88,93,96,92,30/30,Very Good
N.Baskar,800007,56,,50,41,34,41,47,26/30,Poor
D.Benny,800008,,40,40,31,35,47,43,25/30,Poor
S.Bharathi,800009,88,,91,92,82,87,91,30/30,Very Good
S.Benson,800010,,51,53,57,48,61,61,30/30,Need Improvement
C.Charmi,800011,,94,90,98,100,100,92,30/30,Very Good
S.Dhanya,800012,,90,91,94,89,88,95,29/30,Very Good
M.Dhanesh,800013,,86,90,94,95,89,87,30/30,Very Good
N.Dhanush,800014,,41,57,34,45,56,43,24/30,Poor
V.Deepthi,800015,,76,72,81,78,85,82,29/30,Good
A.Elan,800016,,44,51,32,56,47,52,28/30,Poor
D.Elena,800017,45,,41,34,46,54,62,30/30,Poor
A.Feroz,800018,ab,,ab,45,33,23,45,20/30,Poor
S.Finil,800019,67,,61,54,56,61,65,29/30,Need Improvement
R.Fiaz,800020,,56,56,34,41,56,35,24/30,Poor
R.Girija,800021,,79,87,90,98,87,93,29/30,Very Good
S.Gaurav,800022,,51,56,51,52,47,63,26/30,Need Improvement
N.Harshid,800023,,71,72,69,78,74,81,30/30,Good
S.Indhu,800024,,84,89,91,90,88,91,30/30,Very Good
A.Inba Shalini,800025,56,,51,30,45,51,32,20/30,Poor
G.Jayanth,800026,65,,57,65,68,71,75,28/30,Need Improvement
S.Kathir,800027,,90,89,87,85,91,87,30/30,Very Good
V.Kani,800028,,76,77,78,81,83,78,30/30,Good
A.Lijin,800029,,30,44,45,31,33,45,26/30,Poor
S.Manohar,800030,72,,77,72,69,77,78,30/30,Good
A.Martha,800031,,45,34,43,33,46,45,26/30,Poor
S.Munish Kumar,800032,,88,77,76,73,81,78,30/30,Good
V.Murali,800033,,56,44,45,31,47,54,28/30,Poor
S.Ramesh,800034,,44,58,56,54,52,61,30/30,Need Improvement
R.Raghavan,800035,,92,90,94,90,89,91,29/30,Very Good
S.Renuga Devi,800036,90,,89,92,94,90,93,30/30,Very Good
S.Sindhu,800037,71,,72,78,72,69,77,28/30,Good
S.Santosh,800038,,61,64,67,56,67,59,28/30,Need Improvement
M.Teena,800039,,77,73,78,71,81,78,30/30,Good
M.Umesh,800040,,77,81,86,87,91,92,30/30,Very Good
A.Vijay Kumar,800041,66,,56,57,54,51,59,30/30,Need Improvement
M.Viji,800042,81,,84,89,77,79,69,29/30,Good
