Student;StudentID;Standard;Division;Sex;Address;Teacher;TeacherPhone;Parent;ParentPhone;TypeOfExams;Subjects
Adarsh A;200101;1;a;male;no: 32, ranganathan street, marthandam;Sudha;7845464100;Aravind D;9944046100;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;malayalam:Sahay,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Anthony D;200102;1;a;male;22/12, port street, colachel;Sudha;7845464100;Dason C;9871456111;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;tamil:Sudha,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Anitha C;200103;1;a;female;12/11, shanthi bhavan, nagercoil;Sudha;7845464100;Cindrella S;9846812670;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;tamil:Sudha,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Ashwini S;200104;1;a;female;1/17, ashwini illam, nithravilai;Sudha;7845464100;Sethu K;9894321256;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;malayalam:Sahay,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Binil B;200105;1;a;male;12/10, biju nivas, kanjampuram;Sudha;7845464100;Biju A;9876451209;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;tamil:Sudha,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Binitha X;200106;1;a;female;45, binitha bhavan, kollemcode;Sudha;7845464100;Xavier X;7896723450;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;malayalam:Sahay,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Baiju J;200107;1;a;male;11/22, baiju villa, kanjampuram;Sudha;7845464100;Joffin J;8976903412;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;tamil:Sudha,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Cindrella J;200108;1;a;female;44, judin villa, thoothoor;Sudha;7845464100;Judin M;7867098108;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;malayalam:Sahay,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Daniel D;200109;1;a;male;33, davy bhavan, marthandam;Sudha;7845464100;Davy D;9897650987;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;tamil:Sudha,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Sruthi R;200110;1;a;female;12/10, sruthi bhavan, nadaikkavu;Sudha;7845464100;Raghavan;9080453211;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;malayalam:Sahay,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
Anto A;200111;1;b;male;anto garden, thoothoor;Anitha;7845464101;Abraham;9944046101;periodical1,periodical2,quarterly,periodical3,halfyearly,periodical4,annual;tamil:Sudha,english:Anitha,hindi:Rajesh,math:Divya,science:Abhi,history:Rajavijin
